coinc_event_id	ifos	snr
117	H1,K1,V1	14.06488224024678
118	H1,K1,L1,V1	63.58555916822151
119	H1,L1,V1	8.808797760646984
120	H1,L1,V1	9.151155401956309
121	H1,L1,V1	13.06397828364657
122	H1,K1,V1	9.692271041286663
123	H1,K1,L1	11.04385660234619
124	H1,K1,V1	12.70746538498351
125	H1,K1,L1	12.16726709788814
126	H1,K1,L1,V1	11.40765716374996
127	H1,K1,L1,V1	8.412414885411254
128	H1,K1,L1,V1	17.54195240100979
129	H1,L1,V1	8.558922702580604
130	K1,L1,V1	9.84341523725959
131	H1,K1,L1,V1	8.1786394233224
132	H1,K1,L1,V1	8.948294430782544
133	H1,K1,L1,V1	10.68525730889641
134	K1,L1,V1	8.689662533628111
135	H1,K1,L1,V1	9.707491442024892
136	K1,L1,V1	8.043910972147984
137	K1,L1	11.97293752365791
138	H1,K1,L1,V1	12.1034861938402
139	H1,K1,V1	15.50016673389487
140	K1,L1,V1	8.227910327452804
141	K1,L1,V1	14.30929291269901
142	H1,K1,V1	41.16055884227612
143	H1,K1,L1	8.45608747992185
144	K1,L1,V1	14.19337433543943
145	H1,K1,L1,V1	14.01898000590801
146	L1,V1	17.32330260508586
147	H1,K1,L1	9.592070592730252
148	H1,K1,L1,V1	9.331506570412667
149	H1,K1,L1,V1	10.75787444956156
150	H1,L1,V1	10.89917137029935
151	L1	8.393847823233363
152	H1,V1	9.922331348247688
153	H1,K1	8.743024085715417
154	H1,L1,V1	9.364720539954684
155	H1,K1,L1,V1	13.09898416632404
156	H1,K1,L1,V1	11.00315003753765
157	H1,L1,V1	8.942721174688643
158	H1,K1,L1,V1	9.20140610683595
159	K1,L1,V1	8.171666266018034
160	H1,K1,L1	17.78490329645404
161	H1,K1,L1	8.004740826924609
162	H1,L1,V1	10.91459717455408
163	H1,K1,L1,V1	8.210213696008068
164	H1,K1,V1	19.22521571590476
165	H1,K1,L1,V1	11.10088103602287
166	H1,K1,L1,V1	9.528641380535152
167	H1,K1,L1	9.586558765694624
168	H1,K1,L1,V1	9.138845115691762
169	H1,K1,L1,V1	8.781492366693907
170	H1,K1,L1,V1	8.21198533891075
171	K1,L1	9.856983282841611
172	H1,K1,L1,V1	17.55215547289423
173	H1,K1,L1,V1	12.21378939361645
174	K1,L1,V1	8.236362997829966
175	H1,K1,L1	8.458716252939247
176	H1,K1,L1,V1	8.508421009877914
177	K1,L1,V1	13.90479780414568
178	H1,K1,L1,V1	11.45078627742331
179	H1,K1,L1	10.15528063493749
180	H1,L1,V1	8.765453523755285
181	K1,V1	10.65691521625425
182	H1,K1,L1,V1	8.751057795008229
183	H1,K1,L1,V1	40.52394242478505
184	H1,L1,V1	8.737681312648251
185	H1,L1,V1	16.13325260427916
186	H1,K1,L1	8.622519978203322
187	H1,K1,L1,V1	8.693598972653973
188	H1,L1,V1	8.389062608030978
189	H1,K1	12.40609760276826
190	K1,L1,V1	8.989247311613129
191	H1,K1,L1,V1	8.472580840192817
