simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time
2034	3.4218434	-1.0597773	2.8846059	3277.05	37.093279	2.5965733	0.19724845	-0.033447635	1.1314703226089478	1.3694803714752197	1006579259	804341912	1006579259.821828
2095	0.83692008	-0.55122441	2.0020059	1419.0817	8.2261883	3.1219611	0.0006571402	-0.03803126	5.971049785614014	1.7132428884506226	1015486028	259376884	1015486028.271279
2097	2.1849641	-1.1344637	2.6538362	1549.04	9.8242065	3.3072156	-0.16450116	-0.096331559	2.5513875484466553	-1.0868010520935059	1015167054	279541850	1015167054.303429
2105	5.9249845	-0.99495917	0.87898429	1799.9431	19.87214	1.6349084	0.27114676	-0.0030934228	2.23180890083313	-0.8556569814682007	1012994559	97316861	1012994559.120072
2270	2.1132379	0.14390924	0.6031779	685.39595	11.24089	3.1591812	-0.088132629	0.44953329	3.392935037612915	-2.0095226764678955	1027320435	461091042	1027320435.474732
2272	5.3620673	0.41019318	0.71617695	1972.8921	10.094899	2.8151427	-0.045385148	-0.040956721	2.409377098083496	-1.4865597486495972	1010321638	795858502	1010321638.792561
2277	3.9989342	0.39197589	1.5677246	671.21692	10.592637	2.485392	-0.38526309	-0.30003872	5.276162624359131	1.2726714611053467	1024872075	426644921	1024872075.419244
2288	0.091380253	-0.67855215	0.28700078	698.22181	11.632562	2.1937044	-0.12182356	-0.0076399533	1.5470203161239624	1.6704589128494263	1015121761	223152757	1015121761.241196
2319	1.6700428	1.1497133	0.55763558	997.52778	4.1050595	3.0193525	-0.33521321	0.26375528	4.746591567993164	1.6944166421890259	1024625776	898763895	1024625776.884888
2359	2.9095704	0.55330733	2.4005425	1105.1247	11.004139	1.9319755	0.063856012	-0.064847431	5.0159831047058105	0.29220765829086304	1024806102	789598346	1024806102.775691
2372	0.35003558	-0.36817553	2.9710712	204.1709	14.837458	2.097196	-0.38552517	-0.095298077	0.28927183151245117	3.120210647583008	1028809761	11506796	1028809761.015303
2419	4.8138629	0.84469098	0.6023698	2971.5597	39.364376	3.9923148	-0.055201061	0.30242701	5.080033779144287	2.578228235244751	1007308360	69790483	1007308360.053701
2583	6.2505708	-0.30666024	1.9093335	1533.5441	10.883871	1.8828812	-0.092917281	-0.047593995	5.291055679321289	2.64957594871521	1001442650	230276823	1001442650.247838
2621	3.5368373	0.8037494	0.51740283	2160.5515	9.0983794	1.9092832	0.08033163	0.14917418	4.601944923400879	0.15676754713058472	1004210601	488705754	1004210601.47696
2647	6.0834856	0.95313662	2.3782441	396.81919	16.262967	2.7547221	0.63940179	0.018551161	0.5674200654029846	2.5796256065368652	1022625868	959961653	1022625868.956172
2683	1.9613126	-1.2768041	0.85105354	673.53202	3.8338595	2.1885197	0.0090521019	-0.046119421	4.665670394897461	2.1174559593200684	1000979254	211557984	1000979254.223889
2739	0.81900004	-0.25968092	0.76404537	768.47216	8.3613875	1.2958	0.18604045	0.0038151577	4.511476039886475	0.21336008608341217	1002653996	235779762	1002653996.251848
2752	5.6546198	0.049818418	0.69095355	1560.0658	11.517279	3.3268412	0.15231801	0.043399471	1.0726511478424072	2.4050137996673584	1002638085	820249438	1002638085.831161
